Radius;Image62;Image63;Image64;Image65;Image66;Image67;Image68;Image69;Image70;Image71;Image72;Image73;Image74;Image75;Image76;Image77;Image78;Image79;Image80;Image81
135;0;0;0;0;0;0;1;0;1;0;0;2;0;0;0;0;0;3;0;0
136;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;2;0;0
137;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;4;0;0
138;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;4;0;0
139;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;5;0;0
140;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;3;0;0
141;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0
142;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0
143;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0
144;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0
145;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0
146;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0
147;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0
148;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0
149;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0
150;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
