Radius;Image1;Image2;Image3;Image4; Image5;Image6;Image7;Image8;Image9;Image 10;Image11;Image12;Image13;Image14;Image15;Image16;Image17;Image18;Image19;Image20;Image21
73;1;2;0;3;1;0;2;7;6;1;5;3;0;1;5;2;0;0;0;0;2
74;2;2;0;2;1;0;2;8;3;1;4;3;0;1;4;2;0;0;0;0;1
75;2;0;0;2;1;0;2;4;2;1;3;4;0;4;3;0;0;0;0;0;1
76;7;0;0;3;1;0;3;5;3;2;2;3;0;6;3;0;0;0;0;0;1
77;3;0;0;3;1;0;2;9;3;1;0;3;0;2;2;0;0;0;0;0;1
78;4;0;0;4;1;0;1;5;4;1;0;2;0;2;2;0;0;0;0;0;1
79;5;0;0;2;1;0;1;5;2;1;0;2;0;2;2;0;0;0;0;0;1
80;2;0;0;3;0;0;1;3;3;0;0;2;0;2;1;0;0;0;0;0;1
81;1;0;0;2;0;0;2;3;2;0;0;2;0;4;0;0;0;0;0;0;2
82;2;0;0;2;0;0;1;5;5;0;0;2;0;2;0;0;0;0;0;0;2
83;1;0;0;2;0;0;1;6;3;0;0;2;0;2;0;0;0;0;0;0;1
84;0;0;0;2;0;0;4;4;5;0;0;3;0;2;0;0;0;0;0;0;1
85;2;0;0;2;0;0;1;3;7;0;0;2;0;2;0;0;0;0;0;0;1
86;1;0;0;4;0;0;1;4;5;0;0;2;0;2;0;0;0;0;0;0;1
87;1;0;0;5;0;0;1;1;8;0;0;3;0;2;0;0;0;0;0;0;2
88;0;0;0;3;0;0;1;2;7;0;0;4;0;4;0;0;0;0;0;0;1
89;0;0;0;7;0;0;1;1;1;0;0;4;0;3;0;0;0;0;0;0;2
90;0;0;0;6;0;0;1;1;0;0;0;4;0;2;0;0;0;0;0;0;0
91;0;0;0;6;0;0;1;3;0;0;0;3;0;2;0;0;0;0;0;0;0
92;0;0;0;9;0;0;1;2;0;0;0;4;0;3;0;0;0;0;0;0;0
93;0;0;0;6;0;0;1;2;0;0;0;2;0;3;0;0;0;0;0;0;0
94;0;0;0;7;0;0;1;3;0;0;0;2;0;2;0;0;0;0;0;0;0
95;0;0;0;5;0;0;1;3;0;0;0;2;0;2;0;0;0;0;0;0;0
96;0;0;0;5;0;0;1;2;0;0;0;2;0;3;0;0;0;0;0;0;0
